Sample,	Emg 1,	Emg 2

0,	0,	0
1,	0,	4
2,	0,	16
3,	0,	40
4,	0,	0
5,	0,	0
6,	0,	0
7,	0,	0
8,	0,	0
9,	158,	32
10,	17,	28
11,	361,	0
12,	379,	12
13,	414,	4
14,	423,	4
15,	820,	0
16,	776,	0
17,	741,	12
18,	609,	40
19,	926,	0
20,	1024,	0
21,	1024,	0
22,	997,	0
23,	1024,	0
24,	1024,	0
25,	803,	0
26,	379,	0
27,	0,	0
28,	0,	0
29,	0,	0
30,	0,	0
31,	0,	36
32,	0,	40
33,	0,	138
34,	0,	183
35,	0,	383
36,	0,	632
37,	0,	779
38,	0,	820
39,	0,	995
40,	0,	987
41,	0,	799
42,	0,	632
43,	0,	603
44,	0,	677
45,	0,	550
46,	35,	77
47,	61,	0
48,	0,	44
49,	8,	485
50,	264,	607
51,	423,	1024
52,	229,	848
53,	0,	403
54,	0,	4
55,	0,	0
56,	0,	97
57,	0,	338
58,	0,	326
59,	0,	24
60,	0,	0
61,	0,	0
62,	0,	0
63,	0,	0
64,	0,	0
65,	88,	0
66,	44,	0
67,	158,	36
68,	167,	232
69,	247,	216
70,	300,	122
71,	150,	85
72,	123,	114
73,	26,	163
74,	8,	101
75,	8,	77
76,	70,	159
77,	0,	16
78,	0,	24
79,	35,	40
80,	0,	212
81,	0,	0
82,	52,	0
83,	556,	0
84,	1024,	0
85,	308,	0
86,	0,	0
87,	0,	0
88,	0,	0
89,	0,	0
90,	44,	53
91,	88,	126
92,	0,	114
93,	326,	0
94,	17,	0
95,	0,	32
96,	44,	0
97,	573,	0
98,	1024,	0
99,	768,	0
100,	414,	0
101,	0,	0
102,	0,	48
103,	0,	0
104,	0,	0
105,	0,	0
106,	0,	0
107,	0,	0
108,	0,	85
109,	0,	93
110,	0,	126
111,	0,	134
112,	0,	285
113,	0,	632
114,	0,	726
115,	0,	669
116,	0,	583
117,	0,	526
118,	0,	522
119,	0,	1024
120,	0,	1024
121,	0,	1024
122,	0,	1024
123,	0,	1024
124,	0,	1024
125,	0,	954
126,	0,	820
127,	0,	824
128,	0,	852
129,	0,	293
130,	0,	179
131,	0,	114
132,	441,	726
133,	406,	1024
134,	8,	579
135,	0,	134
136,	0,	106
137,	17,	273
138,	0,	244
139,	26,	167
140,	0,	44
141,	185,	16
142,	0,	8
143,	0,	24
144,	0,	12
145,	0,	0
146,	0,	0
147,	8,	0
148,	0,	4
149,	17,	4
150,	158,	0
151,	308,	0
152,	564,	28
153,	723,	0
154,	697,	0
155,	494,	0
156,	238,	0
157,	0,	0
158,	0,	0
159,	0,	0
160,	0,	0
161,	0,	97
162,	0,	220
163,	0,	114
164,	44,	89
165,	0,	183
166,	0,	301
167,	79,	562
168,	52,	950
169,	61,	979
170,	0,	420
171,	141,	689
172,	158,	897
173,	35,	885
174,	35,	856
175,	0,	175
176,	0,	0
177,	0,	0
178,	0,	57
179,	0,	0
180,	0,	24
181,	0,	20
182,	0,	4
183,	0,	28
184,	0,	0
